TIME,DRAW,ENGLAND,FRANCE
00:01.2,72.5,1.185,6.9
00:06.0,72.5,1.185,6.9
00:11.0,72.5,1.185,6.9
00:16.0,72.5,1.185,6.9
00:21.0,72.5,1.185,6.9
00:26.0,70,1.185,6.9
00:31.1,70,1.185,6.9
00:36.1,70,1.185,6.9
00:41.0,70,1.185,6.9
00:46.0,70,1.185,6.9
00:51.0,72.5,1.185,6.9
00:56.0,70,1.185,6.9
01:01.0,70,1.185,6.9
01:06.0,67.5,1.185,6.9
01:11.0,70,1.185,6.8
01:16.0,70,1.185,6.8
01:21.0,70,1.175,6.9
01:26.0,67.5,1.195,6.7
01:31.0,70,1.195,6.5
01:36.0,70,1.195,6.5
01:41.0,70,1.195,6.5
01:46.0,70,1.195,6.5
01:56.3,67.5,1.185,6.7
02:06.3,62.5,1.185,6.7
02:10.7,65,1.185,6.8
02:12.3,65,1.185,6.8
02:16.7,67.5,1.185,6.8
02:21.7,67.5,1.185,6.9
02:26.7,67.5,1.185,6.9
02:31.7,65,1.175,7.7
02:36.7,75,1.165,8
02:41.7,85,1.125,8.6
02:46.7,90,1.115,20.5
02:52.8,120,1.105,22
02:56.7,110,1.11,22
03:01.7,110,1.115,22
03:06.7,105,1.09,21
03:11.8,105,1.095,12
03:16.8,90,1.08,12
03:21.9,90,1.095,11.5
03:26.7,90,1.08,25.25
03:31.7,105,1.085,11.25
03:36.7,110,1.085,28.5
03:41.8,102.5,1.08,32
03:46.7,92.5,1.085,16.25
03:56.7,92.5,1.085,16
04:01.7,97.5,1.08,16
04:06.7,97.5,1.08,16
04:11.7,97.5,1.085,12.75
04:17.0,97.5,1.085,12.75
04:21.8,97.5,1.085,13.25
04:26.7,92.5,1.09,13.25
04:31.7,97.5,1.085,12.5
04:36.8,100,1.095,12.5
04:41.8,100,1.085,12.5
04:47.0,100,1.085,13.75
04:51.7,100,1.085,13.75
04:56.7,100,1.085,13.75
05:01.8,102.5,1.08,14.25
05:07.4,102.5,1.08,14.25
05:11.9,102.5,1.08,14.25
05:16.8,82.5,1.075,16.25
05:21.7,72.5,1.075,17
05:26.7,105,1.065,17
05:31.7,102.5,1.07,17
05:36.8,97.5,1.07,15.5
05:42.1,97.5,1.07,15.5
05:46.7,97.5,1.075,14.5
05:51.7,97.5,1.07,14.5
05:56.7,95,1.07,15.25
06:01.8,102.5,1.065,15.75
06:06.8,107.5,1.07,15.75
06:11.7,107.5,1.07,17
06:16.7,107.5,1.07,16.75
06:21.7,107.5,1.075,16.75
06:26.7,107.5,1.065,17.25
06:31.8,132.5,1.065,17.25
06:36.7,132.5,1.065,17.25
06:41.7,132.5,1.055,33
06:46.7,127.5,1.055,33
06:51.7,127.5,1.055,21
06:56.7,127.5,1.055,21.5
07:01.7,130,1.055,33.5
07:06.8,130,1.055,33.5
07:11.7,130,1.045,33.75
07:16.7,130,1.055,18.5
07:21.7,130,1.06,18.5
07:26.8,130,1.06,18.5
07:31.9,130,1.055,20.75
