Man City v Barcelona_Sending Off?_1424807100000ENTRY: 0
	TIME: 20:47:37.597
		RUNNER: Yes
			BACK: (PRICE:4.0,SIZE:75.61)
			BACK: (PRICE:3.6,SIZE:49.17)
			BACK: (PRICE:3.05,SIZE:264.12)
			LAY: (PRICE:5.4,SIZE:10.13)
			LAY: (PRICE:5.5,SIZE:54.21)
			LAY: (PRICE:6.0,SIZE:2.0)
		RUNNER: No
			BACK: (PRICE:1.2,SIZE:72.92)
			BACK: (PRICE:1.18,SIZE:1555.39)
			BACK: (PRICE:1.17,SIZE:13.8)
			LAY: (PRICE:1.33,SIZE:60.0)
			LAY: (PRICE:1.37,SIZE:5.0)
			LAY: (PRICE:1.39,SIZE:150.0)
