18:46.5,82.5,,,,,,
18:51.4,77.5,,,,,,
18:56.3,85,,,,,,
19:01.3,82.5,,,,,,
19:06.4,82.5,,,,,,
19:11.4,85,,,,,,
19:16.4,85,,,,,,
19:21.4,82.5,,,,,,
19:26.3,87.5,,,,,,
19:31.3,95,,,,,,
19:37.8,105,,,,,,
19:44.6,102.5,,,,,,
19:49.8,102.5,,,,,,
19:55.3,102.5,,,,,,
19:59.6,105,,,,,,
20:02.4,110,,,,,,
20:09.5,110,,,,,,
20:12.7,115,,,,,,
20:19.5,120,,,,,,
20:24.9,120,,,,,,
20:30.1,120,,,,,,
20:34.8,135,,,,,,
20:39.8,135,,,,,,
20:44.7,135,,,,,,
20:49.1,135,,,,,,
20:54.4,145,,,,,,
20:58.5,145,,,,,,
21:02.2,145,,,,,,
21:09.4,165,,,,,,
21:13.7,160,,,,,,
21:20.3,155,,,,,,
21:24.8,155,,,,,,
21:29.5,160,,,,,,
21:34.7,165,,,,,,
21:39.6,175,,,,,,
21:44.5,170,,,,,,
21:50.0,180,,,,,,
21:53.7,185,,,,,,
21:59.9,195,,,,,,
22:03.0,195,,,,,,
22:08.8,220,,,,,,
22:14.6,210,,,,,,
22:19.8,240,,,,,,
22:24.3,210,,,,,,
22:29.1,225,,,,,,
22:34.0,285,,,,,,
22:37.3,255,,,,,,
22:42.6,275,,,,,,
22:49.2,250,,,,,,
22:54.1,250,,,,,,
22:59.4,195,,,,,,
23:05.1,200,,,,,,
23:09.2,200,,,,,,
23:10.9,185,,,,,,
23:16.2,185,,,,,,
23:21.3,185,,,,,,
23:26.3,205,,,,,,
23:31.8,205,,,,,,
23:37.5,180,,,,,,
23:45.2,180,,,,,,
23:48.5,175,,,,,,
23:54.0,175,,,,,,
23:58.8,175,,,,,,
24:03.8,225,,,,,,
24:09.4,225,,,,,,
24:13.6,225,,,,,,
24:18.9,235,,,,,,
24:24.1,240,,,,,,
24:25.8,240,,,,,,
24:31.3,265,,,,,,
24:36.3,260,,,,,,
24:41.4,270,,,,,,
24:46.2,245,,,,,,
24:51.2,260,,,,,,
24:58.9,270,,,,,,
25:03.9,275,,,,,,
25:08.7,275,,,,,,
25:17.6,285,,,,,,
25:21.3,290,,,,,,
25:28.2,290,,,,,,
25:31.9,290,,,,,,
25:37.8,325,,,,,,
25:42.2,380,,,,,,
25:43.6,370,,,,,,
25:48.9,395,,,,,,
25:54.1,395,,,,,,
26:00.2,475,,,,,,
26:07.2,550,,,,,,
26:12.5,495,,,,,,
26:17.2,500,,,,,,
26:18.8,585,,,,,,
26:23.9,555,,,,,,
26:29.2,555,,,,,,
26:34.2,730,,,,,,
26:39.2,630,,,,,,
26:44.6,640,,,,,,
26:49.1,650,,,,,,
26:54.1,600,,,,,,
26:59.2,560,,,,,,
27:04.3,585,,,,,,
27:09.2,560,,,,,,
27:14.0,545,,,,,,
27:20.3,520,,,,,,
27:27.3,430,,,,,,
27:32.1,460,,,,,,
27:37.0,460,,,,,,
27:41.9,625,,,,,,
27:45.9,650,,,,,,
27:49.0,650,,,,,,
27:54.2,725,,,,,,
27:59.3,725,,,,,,
28:04.3,835,,,,,,
28:09.1,835,,,,,,
28:14.2,840,,,,,,
28:19.5,840,,,,,,
