04:10.1,1.505,,,,
04:14.7,1.505,,,,V Williams v Azarenka_Match Odds_1425049200000_Victoria Azarenka
04:19.8,1.505,,,,
04:24.7,1.505,,,,
04:29.7,1.505,,,,
04:34.8,1.51,,,,
04:39.8,1.505,,,,
04:44.8,1.505,,,,
04:49.8,1.515,,,,
04:54.8,1.515,,,,
04:59.8,1.515,,,,
05:04.8,1.515,,,,
05:09.9,1.515,,,,
05:14.9,1.515,,,,
05:19.9,1.515,,,,
05:24.9,1.51,,,,
05:29.9,1.505,,,,
05:34.9,1.505,,,,
05:39.9,1.505,,,,
05:44.9,1.505,,,,
05:49.9,1.505,,,,
05:54.9,1.505,,,,
05:59.9,1.495,,,,
06:04.9,1.495,,,,
06:10.0,1.495,,,,
06:15.0,1.495,,,,
06:20.0,1.495,,,,
06:25.0,1.495,,,,
06:30.0,1.495,,,,
06:35.0,1.495,,,,
06:40.0,1.495,,,,
06:45.0,1.495,,,,
06:50.0,1.495,,,,
06:55.0,1.495,,,,
07:00.0,1.495,,,,
07:05.0,1.505,,,,
07:10.1,1.505,,,,
07:15.0,1.505,,,,
07:20.1,1.505,,,,
07:25.1,1.505,,,,
07:30.1,1.505,,,,
07:35.1,1.505,,,,
07:40.1,1.505,,,,
07:45.1,1.505,,,,
07:50.1,1.505,,,,
07:55.1,1.505,,,,
08:00.1,1.505,,,,
08:05.1,1.505,,,,
08:10.1,1.505,,,,
08:15.1,1.505,,,,
08:20.1,1.505,,,,
08:25.2,1.505,,,,
08:30.2,1.505,,,,
08:35.2,1.505,,,,
08:40.2,1.505,,,,
08:45.2,1.505,,,,
08:50.2,1.505,,,,
08:55.2,1.505,,,,
09:00.1,1.505,,,,
09:05.2,1.505,,,,
09:10.2,1.505,,,,
09:15.2,1.505,,,,
09:20.2,1.505,,,,
09:25.2,1.505,,,,
09:30.2,1.505,,,,
09:35.2,1.505,,,,
09:40.2,1.505,,,,
09:45.2,1.505,,,,
09:50.2,1.505,,,,
09:55.2,1.505,,,,
10:00.2,1.505,,,,
10:05.3,1.505,,,,
10:10.3,1.505,,,,
10:15.3,1.505,,,,
10:20.3,1.505,,,,
10:25.3,1.505,,,,
10:30.3,1.505,,,,
10:35.3,1.505,,,,
10:40.3,1.505,,,,
10:45.3,1.505,,,,
10:50.3,1.505,,,,
10:55.3,1.505,,,,
11:00.3,1.505,,,,
